horse_id,horse_name,declared_entry_count,nonempty_entry_count,mojibake_cells_repaired,qc_status,source_url
2019104607,コルベイユ,62,62,17,PASS,https://db.netkeiba.com/horse/ped/2019104607/
2019105329,サンカルパ,62,62,16,PASS,https://db.netkeiba.com/horse/ped/2019105329/
2019105040,セントカメリア,62,62,16,PASS,https://db.netkeiba.com/horse/ped/2019105040/
2019104868,ブルトンクール,62,62,18,PASS,https://db.netkeiba.com/horse/ped/2019104868/
2019106877,ミナモトフェイス,62,62,17,PASS,https://db.netkeiba.com/horse/ped/2019106877/
2019104700,ラリュエル,62,62,9,PASS,https://db.netkeiba.com/horse/ped/2019104700/
2019105207,サリエラ,62,62,5,PASS,https://db.netkeiba.com/horse/ped/2019105207/
2019101670,メモリーレゾン,62,62,28,PASS,https://db.netkeiba.com/horse/ped/2019101670/
2019100664,エグランタイン,62,62,7,PASS,https://db.netkeiba.com/horse/ped/2019100664/
2019100464,ヒヅルジョウ,62,62,10,PASS,https://db.netkeiba.com/horse/ped/2019100464/
2019103430,ベリーヴィーナス,62,62,7,PASS,https://db.netkeiba.com/horse/ped/2019103430/
2019103973,ルージュリナージュ,62,62,23,PASS,https://db.netkeiba.com/horse/ped/2019103973/
2019105552,ローシャムパーク,62,62,16,PASS,https://db.netkeiba.com/horse/ped/2019105552/
2019105546,マテンロウスカイ,62,62,29,PASS,https://db.netkeiba.com/horse/ped/2019105546/
2019104476,ガイアフォース,62,62,27,PASS,https://db.netkeiba.com/horse/ped/2019104476/
2019103826,ベジャール,62,62,26,PASS,https://db.netkeiba.com/horse/ped/2019103826/
2019104828,キングズパレス,62,62,6,PASS,https://db.netkeiba.com/horse/ped/2019104828/
2019101288,サイモンバロン,62,62,12,PASS,https://db.netkeiba.com/horse/ped/2019101288/
2019104520,コントゥラット,62,62,18,PASS,https://db.netkeiba.com/horse/ped/2019104520/
2019100603,ヤマニンゼスト,62,62,6,PASS,https://db.netkeiba.com/horse/ped/2019100603/
2019105065,パラレルヴィジョン,62,62,8,PASS,https://db.netkeiba.com/horse/ped/2019105065/
2019105118,ジュンブロッサム,62,62,11,PASS,https://db.netkeiba.com/horse/ped/2019105118/
2019105793,アイキャンドウイッ,62,62,5,PASS,https://db.netkeiba.com/horse/ped/2019105793/
2019100668,サンセットクラウド,62,62,7,PASS,https://db.netkeiba.com/horse/ped/2019100668/
2017105082,ヴェラアズール,62,62,11,PASS,https://db.netkeiba.com/horse/ped/2017105082/
2019100215,ウインエクレール,62,62,18,PASS,https://db.netkeiba.com/horse/ped/2019100215/
2019100547,タガノフィナーレ,62,62,19,PASS,https://db.netkeiba.com/horse/ped/2019100547/
2019104124,ストーリア,62,62,24,PASS,https://db.netkeiba.com/horse/ped/2019104124/
2019105846,ブライトオンベイス,62,62,16,PASS,https://db.netkeiba.com/horse/ped/2019105846/
2019100790,マイネルトルファン,62,62,24,PASS,https://db.netkeiba.com/horse/ped/2019100790/
2019105556,ドゥラドーレス,62,62,21,PASS,https://db.netkeiba.com/horse/ped/2019105556/
2019101507,ディナースタ,62,62,15,PASS,https://db.netkeiba.com/horse/ped/2019101507/
2019105168,セレシオン,62,62,8,PASS,https://db.netkeiba.com/horse/ped/2019105168/
2017105620,レインカルナティオ,62,62,19,PASS,https://db.netkeiba.com/horse/ped/2017105620/
2017103201,クリノプレミアム,62,62,22,PASS,https://db.netkeiba.com/horse/ped/2017103201/
2016103084,ローザノワール,62,62,5,PASS,https://db.netkeiba.com/horse/ped/2016103084/
2020100189,アレクサ,62,62,17,PASS,https://db.netkeiba.com/horse/ped/2020100189/
2020103061,シュタールヴィント,62,62,15,PASS,https://db.netkeiba.com/horse/ped/2020103061/
2020110095,サイブレーカー,62,62,3,PASS,https://db.netkeiba.com/horse/ped/2020110095/
2020106402,トップナイフ,62,62,10,PASS,https://db.netkeiba.com/horse/ped/2020106402/
2020103794,エゾダイモン,62,62,24,PASS,https://db.netkeiba.com/horse/ped/2020103794/
2020103522,グランヴィノス,62,62,17,PASS,https://db.netkeiba.com/horse/ped/2020103522/
2020102194,グリューネグリーン,62,62,35,PASS,https://db.netkeiba.com/horse/ped/2020102194/
2020102798,スマラグドス,62,62,10,PASS,https://db.netkeiba.com/horse/ped/2020102798/
2020103060,ヴェルテンベルク,62,62,24,PASS,https://db.netkeiba.com/horse/ped/2020103060/
2020103881,コスモサガルマータ,62,62,9,PASS,https://db.netkeiba.com/horse/ped/2020103881/
2020104520,アイルシャイン,62,62,8,PASS,https://db.netkeiba.com/horse/ped/2020104520/
