horse_id,horse_name,ancestor,occurrences,cross_pattern,paths,total_blood_share_pct,wright_F_contribution_pct,is_sire_dam_common
2014103124,ジュニエーブル,Fairy Bridge,2,4x5,SDSD|DDSSD,9.375,0.390625,True
2014103124,ジュニエーブル,Fairy King,2,3x4,SDS|DDSS,18.75,1.5625,True
2014103124,ジュニエーブル,Northern Dancer,3,4x5x5,SDSS|SDDDS|DDSSS,12.5,0.5859375,True
2014102696,ニシノアモーレ,Northern Dancer,2,4x5,SDSS|DDDSS,9.375,0.390625,True
2014105929,サンティール,Northern Dancer,2,5x5,SSSSS|SDDSS,6.25,0.0,False
2014102716,コマノインパルス,Hail to Reason,2,5x5,DSSSS|DDSSS,6.25,0.0,False
2014102716,コマノインパルス,Halo,2,4x5,SDDDS|DSSS,9.375,0.390625,True
2014102716,コマノインパルス,In Reality,2,5x5,DSDDS|DDSDS,6.25,0.0,False
2014102716,コマノインパルス,Wild Risk,2,5x5,SSSDS|DSDSS,6.25,0.1953125,True
2014105466,アダマンティン,Northern Dancer,3,4x5x5,SSSSS|SDDSS|DDSS,12.5,0.78125,True
2014104389,ガンサリュート,Cosmah,2,5x5,SSSSD|SDDSD,6.25,0.0,False
2014104389,ガンサリュート,Hail to Reason,3,5x5x5,SSSSS|SDDSS|DDDSS,9.375,0.390625,True
2014104389,ガンサリュート,Halo,2,4x4,SSSS|SDDS,12.5,0.0,False
2014104389,ガンサリュート,Northern Dancer,2,5x5,DDSSS|DDDDS,6.25,0.0,False
2014110001,バリングラ,Natalma,3,5x5x5,SSSSD|SSDDD|DSSSD,9.375,0.390625,True
2014110001,バリングラ,Nearctic,2,5x5,SSSSS|DSSSS,6.25,0.1953125,True
2014110001,バリングラ,Northern Dancer,4,4x4x5x5,SSSS|SDSSS|DSSS|DDSSS,18.75,1.7578125,True
2013105880,シャケトラ,Cosmah,2,4x5,SSSD|DSDSD,9.375,0.390625,True
2013105880,シャケトラ,Hail to Reason,2,4x5,SSSS|DSDSS,9.375,0.390625,True
2013105880,シャケトラ,Halo,2,3x4,SSS|DSDS,18.75,1.5625,True
2013105880,シャケトラ,Northern Dancer,2,5x5,DSSSS|DDDSS,6.25,0.0,False
2013104845,テイエムナナヒカリ,Nearctic,2,5x5,SDSSS|DSSSS,6.25,0.1953125,True
2013104845,テイエムナナヒカリ,Northern Dancer,2,4x5,SDSS|DDDSS,9.375,0.390625,True
2009101016,シルクドリーマー,Graustark,2,4x5,SSDS|SDDDS,9.375,0.0,False
2009101016,シルクドリーマー,Hail to Reason,2,4x5,SSSS|DSSSS,9.375,0.390625,True
2011104243,ガリバルディ,Northern Dancer,2,5x5,SDSSS|DSDSS,6.25,0.1953125,True
2009106222,ラブラドライト,Northern Dancer,2,5x5,SSDSS|SDSSS,6.25,0.0,False
2012104044,キングルアウ,Gold Digger,2,4x5,SSSD|DSSSD,9.375,0.390625,True
2012104044,キングルアウ,Mr. Prospector,2,3x4,SSS|DSSS,18.75,1.5625,True
2012104044,キングルアウ,Northern Dancer,3,5x5x5,SSDSS|SDSSS|DDDDS,9.375,0.390625,True
2012104044,キングルアウ,Raise a Native,2,4x5,SSSS|DSSSS,9.375,0.390625,True
2014106464,テーオーフォルテ,Northern Dancer,2,5x5,SSSSS|SDDSS,6.25,0.0,False
2014106196,サトノマックス,Northern Dancer,2,5x5,SDSSS|DSDSS,6.25,0.1953125,True
2014104102,スマートエレメンツ,Hail to Reason,2,4x5,SSSS|DSSSS,9.375,0.390625,True
2014104102,スマートエレメンツ,Nijinsky,2,5x5,DSDSD|DDSDS,6.25,0.0,False
2014105589,ダイワキャグニー,Northern Dancer,2,5x5,SSDSS|SDSSS,6.25,0.0,False
2014105589,ダイワキャグニー,Raise a Native,2,4x5,SSSS|DDSSS,9.375,0.390625,True
2014100971,マイスタイル,Danzig,2,2x3,DD|DDS,37.5,0.0,False
2014100971,マイスタイル,Northern Dancer,2,4x5,SDDSS|DDSS,9.375,0.390625,True
2012101173,ウインスペクトル,Bold Ruler,3,4x5x5,SSDSS|SDSS|DDDSS,12.5,0.5859375,True
2012101173,ウインスペクトル,Gold Digger,2,4x5,SDDD|DDSSD,9.375,0.390625,True
2011103613,フェルメッツァ,Northern Dancer,2,4x5,SDSSS|DDSS,9.375,0.390625,True
