horse_id,horse_name,source_url,qc_status,ped_S,ped_SS,ped_SSS,ped_SSSS,ped_SSSSS,ped_SSSSD,ped_SSSD,ped_SSSDS,ped_SSSDD,ped_SSD,ped_SSDS,ped_SSDSS,ped_SSDSD,ped_SSDD,ped_SSDDS,ped_SSDDD,ped_SD,ped_SDS,ped_SDSS,ped_SDSSS,ped_SDSSD,ped_SDSD,ped_SDSDS,ped_SDSDD,ped_SDD,ped_SDDS,ped_SDDSS,ped_SDDSD,ped_SDDD,ped_SDDDS,ped_SDDDD,ped_D,ped_DS,ped_DSS,ped_DSSS,ped_DSSSS,ped_DSSSD,ped_DSSD,ped_DSSDS,ped_DSSDD,ped_DSD,ped_DSDS,ped_DSDSS,ped_DSDSD,ped_DSDD,ped_DSDDS,ped_DSDDD,ped_DD,ped_DDS,ped_DDSS,ped_DDSSS,ped_DDSSD,ped_DDSD,ped_DDSDS,ped_DDSDD,ped_DDD,ped_DDDS,ped_DDDSS,ped_DDDSD,ped_DDDD,ped_DDDDS,ped_DDDDD
2015104384,ビッグスモーキー,https://db.netkeiba.com/horse/ped/2015104384/,PASS,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,Miesque,Nureyev,Northern Dancer,Special,Pasadoble,Prove Out,Santa Quilla,マンファス Manfath,ラストタイクーン Last Tycoon,トライマイベスト,Northern Dancer,Sex Appeal,Mill Princess,Mill Reef,Irish Lass,Pilot Bird,Blakeney,Hethersett,Windmill Girl,The Dancer,Green Dancer,Khazaeen,スモークンフローリック Smok'n Frolic,Smoke Glacken,Two Punch,Mr. Prospector,Raise a Native,Gold Digger,Heavenly Cause,Grey Dawn,Lady Dulcinea,Majesty's Crown,Magesterial,Northern Dancer,Courting Days,Queen's Crown,King Emperor,Turn Capp,Cherokyfrolicflash,Green Dancer,Nijinsky,Northern Dancer,Flaming Page,Green Valley,Val de Loir,Sly Pola,Cherokee Frolic,Cherokee Fellow,Funny Fellow,Dame Francesca,Fauchon,Final Ruling,Boda
2015105089,ハーベストムーン,https://db.netkeiba.com/horse/ped/2015105089/,PASS,マンハッタンカフェ,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,Understanding,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,サトルチェンジ Subtle Change,Law Society,Alleged,Hoist the Flag,Princess Pout,Bold Bikini,Boldnesian,Ran-Tan,Santa Luciana,Luciano,Henry the Seventh,Light Arctic,Suleika,Ticino,Schwarzblaurot,レツィーナ,キャプテンスティーヴ Captain Steve,Fly So Free,Time for a Change,Damascus,Resolver,Free to Fly,Stevward,Dancing Lark,Sparkling Delite,Vice Regent,Northern Dancer,Victoria Regina,Sparkling Topaz,Jacinto,Alotoffun,タニウインドタイム,ブライアンズタイム Brian's Time,Roberto,Hail to Reason,Bramalea,Kelley's Day,Graustark,Golden Trail,ウインドシアー Wind Shear,Fappiano,Mr. Prospector,Killaloe,Ellie Milove,Dr. Fager,Barbs Dancer
2014105484,レッドジェノヴァ,https://db.netkeiba.com/horse/ped/2014105484/,PASS,シンボリクリスエス,Kris S.,Roberto,Hail to Reason,Turn-to,Nothirdchance,Bramalea,Nashua,Rarelea,Sharp Queen,Princequillo,Prince Rose,Cosquilla,Bridgework,Occupy,Feale Bridge,Tee Kay,Gold Meridian,Seattle Slew,Bold Reasoning,My Charmer,Queen Louie,Crimson Satan,Reagent,Tri Argo,Tri Jet,Jester,Haze,Hail Proudly,Francis S.,Spanglet,コロンバスサークル,ホワイトマズル White Muzzle,ダンシングブレーヴ Dancing Brave,Lyphard,Northern Dancer,Goofed,Navajo Princess,Drone,Olmec,Fair of the Furze,Ela-Mana-Mou,ピットカーン,Rose Bertin,Autocratic,Tyrant,Flight Table,マンハッタンフィズ,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Cosmah,Wishing Well,Understanding,Mountain Flower,サトルチェンジ Subtle Change,Law Society,Alleged,Bold Bikini,Santa Luciana,Luciano,Suleika
2013101924,サンエイゴールド,https://db.netkeiba.com/horse/ped/2013101924/,PASS,ステイゴールド,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,Understanding,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,ゴールデンサッシュ,ディクタス Dictus,Sanctus,Fine Top,Sanelta,Doronic,Worden,Dulzetta,ダイナサッシュ,ノーザンテースト,Northern Dancer,Lady Victoria,ロイヤルサッシュ,Princely Gift,Sash of Honour,ノーチェリンダ Noche Linda,Barkerville,Mr. Prospector,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,Euryanthe,Nijinsky,Northern Dancer,Flaming Page,Quill,Princequillo,Quick Touch,Noche de Gala,Pick Up,Chairman Walker,Buckpasser,Swansea,Pick Axe,Babu's Pet,Pica,Notoria,Flynn,Sheshoon,Flying Feathers,Nassa,Bristol,Naipur
2015104183,ラテュロス,https://db.netkeiba.com/horse/ped/2015104183/,PASS,ディープインパクト,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,Understanding,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,ウインドインハーヘア Wind in Her Hair,Alzao,Lyphard,Northern Dancer,Goofed,Lady Rebecca,Sir Ivor,Pocahontas,Burghclere,Busted,Crepello,Sans le Sou,Highclere,Queen's Hussar,Highlight,スウィートハース Sweet Hearth,Touch Gold,Deputy Minister,Vice Regent,Northern Dancer,Victoria Regina,Mint Copy,Bunty's Flight,Shakney,Passing Mood,Buckpasser,Tom Fool,Busanda,Cool Mood,Northern Dancer,Happy Mood,Sweet Gold,Gilded Time,Timeless Moment,Damascus,Hour of Parting,Gilded Lilly,What a Pleasure,Luquillo,Anti Social,Pretense,Endeavour,Imitation,Wind Song,Mr. Music,Windsail
2015100600,スカーレットカラー,https://db.netkeiba.com/horse/ped/2015100600/,PASS,ヴィクトワールピサ,ネオユニヴァース,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Cosmah,Wishing Well,Understanding,Mountain Flower,ポインテッドパス Pointed Path,Kris,Sharpen Up,Doubly Sure,Silken Way,Shantung,Boulevard,ホワイトウォーターアフェア Whitewater Affair,Machiavellian,Mr. Prospector,Raise a Native,Gold Digger,Coup de Folie,Halo,Raise the Standard,Much Too Risky,Bustino,Busted,Ship Yard,Short Rations,Lorenzaccio,Short Commons,ヴェントス,ウォーエンブレム War Emblem,Our Emblem,Mr. Prospector,Raise a Native,Gold Digger,Personal Ensign,Private Account,Grecian Banner,Sweetest Lady,Lord at War,General,Luna de Miel,Sweetest Roman,The Pruner,I Also,ブラッシングブライド Blushing Bride,Distant Relative,Habitat,Sir Gaylord,Little Hut,Royal Sister,Claude,Ribasha,Dime Bag,High Line,ハイハット,Time Call,Blue Guitar,Cure the Blues,Mettle
2015104126,サトノガーネット,https://db.netkeiba.com/horse/ped/2015104126/,PASS,ディープインパクト,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,Understanding,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,ウインドインハーヘア Wind in Her Hair,Alzao,Lyphard,Northern Dancer,Goofed,Lady Rebecca,Sir Ivor,Pocahontas,Burghclere,Busted,Crepello,Sans le Sou,Highclere,Queen's Hussar,Highlight,ビートリックスキッド Beatrix Kiddo,Victory Note,Fairy King,Northern Dancer,Nearctic,Natalma,Fairy Bridge,Bold Reason,Special,Three Piece,Jaazeiro,Sham,Rule Formi,Trinity Term,プリメラ,Hilary Term,Laquifan,Lear Fan,Roberto,Hail to Reason,Bramalea,Wac,Lt. Stevens,Belthazar,ラキオーラ Laquiola,Lyphard,Northern Dancer,Goofed,Kalila,ボウプリンス,Vali
2015103383,ミッキーチャーム,https://db.netkeiba.com/horse/ped/2015103383/,PASS,ディープインパクト,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,Understanding,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,ウインドインハーヘア Wind in Her Hair,Alzao,Lyphard,Northern Dancer,Goofed,Lady Rebecca,Sir Ivor,Pocahontas,Burghclere,Busted,Crepello,Sans le Sou,Highclere,Queen's Hussar,Highlight,リップルスメイド Ripples Maid,Dansili,デインヒル Danehill,Danzig,Northern Dancer,Pas de Nom,Razyana,His Majesty,Spring Adieu,Hasili,Kahyasi,イルドブルボン,Kadissya,Kerali,High Line,Sookera,Rivers Rhapsody,Dominion,Derring-Do,Darius,Sipsey Bridge,Picture Palace,Princely Gift,Palais Glide,Trwyn Cilan,Import,Porto Bello,Immortelle,Welsh Cape,Abernant,Red Robe
2015104352,ゴージャスランチ,https://db.netkeiba.com/horse/ped/2015104352/,PASS,マンハッタンカフェ,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,Understanding,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,サトルチェンジ Subtle Change,Law Society,Alleged,Hoist the Flag,Princess Pout,Bold Bikini,Boldnesian,Ran-Tan,Santa Luciana,Luciano,Henry the Seventh,Light Arctic,Suleika,Ticino,Schwarzblaurot,シーキングマイラブ,Seeking the Gold,Mr. Prospector,Raise a Native,Native Dancer,Raise You,Gold Digger,Nashua,Sequence,Con Game,Buckpasser,Tom Fool,Busanda,Broadway,Hasty Road,Flitabout,クイーンモード Queen Maud,Akarad,Labus,Busted,Cordovilla,Licata,Abdos,Gaia,Modiyna,Nishapour,ゼダーン,Alama,Monique,Tanerko,Matina
2015105036,プリモシーン,https://db.netkeiba.com/horse/ped/2015105036/,PASS,ディープインパクト,サンデーサイレンス Sunday Silence,Halo,Hail to Reason,Turn-to,Nothirdchance,Cosmah,Cosmic Bomb,Almahmoud,Wishing Well,Understanding,Promised Land,Pretty Ways,Mountain Flower,Montparnasse,Edelweiss,ウインドインハーヘア Wind in Her Hair,Alzao,Lyphard,Northern Dancer,Goofed,Lady Rebecca,Sir Ivor,Pocahontas,Burghclere,Busted,Crepello,Sans le Sou,Highclere,Queen's Hussar,Highlight,モシーン Mosheen,Fastnet Rock,デインヒル Danehill,Danzig,Northern Dancer,Pas de Nom,Razyana,His Majesty,Spring Adieu,Piccadilly Circus,ロイヤルアカデミーII,Nijinsky,Crimson Saint,Gatana,Marauding,Twigalae,Sumehra,ストラヴィンスキー,Nureyev,Northern Dancer,Special,Fire the Groom,Blushing Groom,Prospector's Fire,Miss Priority,Kaapstad,Sir Tristram,Eight Carat,Benediction,Day Is Done,Cathedra
