horse_id,horse_name,source_url,qc_status,sire,dam,broodmare_sire,sire_sire,sire_dam_sire,dam_dam,female_tail_5gen,sire_line,sire_broad_line,broodmare_sire_line,broodmare_sire_broad_line,sire_x_bms_line,sire_broad_x_bms_broad,sire_line_x_female_tail,repeated_ancestor_count,cross_summary,wright_F_approx_pct,blood_sunday_silence_pct,blood_northern_dancer_pct,blood_mr_prospector_pct,blood_kingmambo_pct,blood_roberto_pct,blood_sadler_s_wells_pct,blood_danzig_pct,blood_halo_pct,blood_hail_to_reason_pct,blood_seattle_slew_pct,blood_a_p_indy_pct,blood_nijinsky_pct,blood_nureyev_pct,blood_storm_cat_pct,blood_deputy_minister_pct,blood_tony_bin_pct,blood_lyphard_pct,blood_raise_a_native_pct,blood_native_dancer_pct
2018104366,ステイブルアスク,https://db.netkeiba.com/horse/ped/2018104366/,PASS,オルフェーヴル,トレノエンジェル,タイキシャトル,Stay Gold,メジロマックイーン,アスクコマンダー,ミリーバード,Stay Gold,Hail to Reason,Halo,Hail to Reason,Stay Gold__X__Halo,Hail to Reason__X__Hail to Reason,Stay Gold__X__ミリーバード,4,Cosmah:5x5;Hail to Reason:5x5;Halo:4x4;Northern Taste:4x5,1.171875,12.5,3.125,3.125,0.0,3.125,0.0,0.0,12.5,6.25,0.0,0.0,3.125,0.0,0.0,0.0,0.0,3.125,0.0,0.0
2018102608,ヴェルトハイム,https://db.netkeiba.com/horse/ped/2018102608/,PASS,ロードカナロア,ワイルドココ,Shirocco,King Kamehameha,Storm Cat,Wild Side,Waitotara,King Kamehameha,Native Dancer,Shirocco,Shirocco,King Kamehameha__X__Shirocco,Native Dancer__X__Shirocco,King Kamehameha__X__Waitotara,2,Konigsstuhl:4x5;Northern Dancer:5x5,0.1953125,0.0,6.25,6.25,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,12.5,0.0,0.0,0.0,3.125,0.0
2017101819,ハギノリュクス,https://db.netkeiba.com/horse/ped/2017101819/,PASS,ルーラーシップ,ハギノウィッシュ,アグネスタキオン,King Kamehameha,Tony Bin,アヴェニューズレディ Avenue's Lady,Cancelada,King Kamehameha,Native Dancer,Sunday Silence,Hail to Reason,King Kamehameha__X__Sunday Silence,Native Dancer__X__Hail to Reason,King Kamehameha__X__Cancelada,0,,0.0,12.5,3.125,6.25,12.5,0.0,0.0,0.0,6.25,3.125,6.25,0.0,3.125,3.125,0.0,0.0,12.5,0.0,3.125,0.0
2017101449,エヴァーガーデン,https://db.netkeiba.com/horse/ped/2017101449/,PASS,アイルハヴアナザー I'll Have Another,モエレカトリーナ,Halo,Flower Alley,Arch,シーワン,Lady Winborne,Mr. Prospector,Native Dancer,Halo,Hail to Reason,Mr. Prospector__X__Halo,Native Dancer__X__Hail to Reason,Mr. Prospector__X__Lady Winborne,3,Danzig:4x5x5;Halo:2x4;Mr. Prospector:5x5x5,0.390625,12.5,3.125,9.375,0.0,3.125,3.125,12.5,31.25,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0
2016104926,フォルコメン,https://db.netkeiba.com/horse/ped/2016104926/,PASS,ヴィクトワールピサ,イマーキュレイトキャット Immaculate Cat,Storm Cat,ネオユニヴァース,Machiavellian,Myhrr,Santa Quilla,Sunday Silence,Hail to Reason,Storm Cat,Northern Dancer,Sunday Silence__X__Storm Cat,Hail to Reason__X__Northern Dancer,Sunday Silence__X__Santa Quilla,5,Gold Digger:4x5;Halo:4x5;Mr. Prospector:3x4;Northern Dancer:4x5;Raise a Native:4x5,2.34375,12.5,9.375,18.75,0.0,0.0,0.0,0.0,9.375,3.125,0.0,0.0,0.0,6.25,25.0,0.0,0.0,0.0,9.375,3.125
2018102009,ヤマニンデンファレ,https://db.netkeiba.com/horse/ped/2018102009/,PASS,ローエングリン,ヤマニンアドーレ,ダイワメジャー,Singspiel,Garde Royale,ヤマニンアラバスタ,ニシキノ,Sadler's Wells,Northern Dancer,Sunday Silence,Hail to Reason,Sadler's Wells__X__Sunday Silence,Northern Dancer__X__Hail to Reason,Sadler's Wells__X__ニシキノ,4,Cosmah:5x5;Hail to Reason:5x5;Halo:4x4;Northern Dancer:5x5,1.3671875,12.5,6.25,0.0,0.0,0.0,6.25,0.0,12.5,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017104961,タイセイモンストル,https://db.netkeiba.com/horse/ped/2017104961/,PASS,ルーラーシップ,ラブアクチュアリー,ダンスインザダーク,King Kamehameha,Tony Bin,ワイドウインダム,メジロナデシコ,King Kamehameha,Native Dancer,Sunday Silence,Hail to Reason,King Kamehameha__X__Sunday Silence,Native Dancer__X__Hail to Reason,King Kamehameha__X__メジロナデシコ,1,Northern Dancer:5x5,0.1953125,12.5,6.25,6.25,12.5,0.0,0.0,0.0,6.25,3.125,0.0,0.0,6.25,3.125,0.0,0.0,12.5,0.0,3.125,0.0
2017101183,レッドライデン,https://db.netkeiba.com/horse/ped/2017101183/,PASS,エイシンフラッシュ,ブランシェール,Deep Impact,キングズベスト King's Best,Platini,アドヴァーシティ Adversity,Lovely Morning,Kingmambo,Native Dancer,Deep Impact,Hail to Reason,Kingmambo__X__Deep Impact,Native Dancer__X__Hail to Reason,Kingmambo__X__Lovely Morning,3,Gold Digger:5x5;Mr. Prospector:4x4;Raise a Native:5x5,1.171875,12.5,3.125,12.5,12.5,0.0,0.0,6.25,6.25,3.125,0.0,0.0,0.0,3.125,0.0,0.0,0.0,3.125,6.25,0.0
2016106606,カラテ,https://db.netkeiba.com/horse/ped/2016106606/,PASS,トゥザグローリー,レディーノパンチ,フレンチデピュティ French Deputy,King Kamehameha,Sunday Silence,レイサッシュ,ロイヤルサッシュ,King Kamehameha,Native Dancer,Deputy Minister,Northern Dancer,King Kamehameha__X__Deputy Minister,Native Dancer__X__Northern Dancer,King Kamehameha__X__ロイヤルサッシュ,2,Northern Dancer:5x5;Nureyev:4x5,0.1953125,12.5,6.25,6.25,12.5,0.0,0.0,0.0,6.25,3.125,0.0,0.0,0.0,9.375,0.0,12.5,0.0,0.0,3.125,0.0
2014102163,ゴールドスミス,https://db.netkeiba.com/horse/ped/2014102163/,PASS,Stay Gold,ザミリア Zameyla,Cape Cross,Sunday Silence,ディクタス Dictus,Angelic Sounds,Frozen Blonde,Stay Gold,Hail to Reason,Danzig,Northern Dancer,Stay Gold__X__Danzig,Hail to Reason__X__Northern Dancer,Stay Gold__X__Frozen Blonde,1,Northern Dancer:5x5x5,0.390625,25.0,9.375,0.0,0.0,0.0,0.0,6.25,12.5,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
